region;estado geografico;capital estado geografico;municipio;parroquia;estado operativo;distrito;area;central;nombre central;id_averia;tipo_reporte;dac;telefono;fecha_reporte;persona_reporta;contacto;fecha_compromiso;fecha_cita;ultimo_usuario;ultimo_comentario;results;asignado_a;cuadrilla;fecha_despacho;ciudad;estatus;problema_reporte;servicio_off_on;cliente_notificado;informacion;informacion;nombre;direccion;fecha_instalacion;olt;ip;tarjeta;plan;slot;puerto;ont_id;fat;serial;cvlan;extra;area_trabajo;dias transcurrido desde la apertura;area_resolutoria;tipo_servicio;tipo_problema;descripcion;usuario_acciona;fecha_acciona;dias transcurrido en area resolutoria;codigo_causa;descripcion;Subcodigo_causa;descripcion;con_serv_aba;unidad_negocio;ups;codigos_gestionados_en_VENAPP;codigos_sin_gestion_en_VENAPP;Reparador Principal;Ayudante 1;Ayudante 2;Ayudante 3;Ayudante 4;Ayudante 5;Ayudante 6;Ayudante 7;Ayudante 8;Ayudante 9;Flota (CAN);Nombre;Apellido;Telefono Oficina;Telefono Movil;Fecha Hora Asignacion
			CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001000;DATO12-0000;999;7000000100;17/07/2026 11:38:20 a.m.;ABONADO0000;4000000100;20/07/2026 11:38:20 a.m.;;OPERADOR0000;SIN NOVEDAD FICTICIA;;;;10/09/2026 12:00:13 p.m.;DATO26-0000;PEND;SIN NOVEDAD FICTICIA;DATO29-0000;9;;SIN NOVEDAD FICTICIA;ABONADO0000;CALLE FICTICIA 0000 RESIDENCIA DEMO;;DATO36-0000;DATO37-0000;DATO38-0000;DATO39-0000;9;9;99;DATO43-0000;DATO44-0000;999;DATO46-0000;DATO47-0000;99;DATO49-0000;DATO50-0000;DATO51-0000;DATO52-0000;OPERADOR0000;10/09/2026 12:04:22 p.m.;9;;;;;DATO60-0000;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001001;DATO12-0001;999;7000000101;03/08/2026 01:08:36 p.m.;ABONADO0001;4000000101;06/08/2026 01:08:36 p.m.;22/08/2026 10:00:00 a.m.;OPERADOR0001;SIN NOVEDAD FICTICIA;;;;07/09/2026 10:37:00 a.m.;DATO26-0001;PEND;SIN NOVEDAD FICTICIA;DATO29-0001;9;SIN NOVEDAD FICTICIA;SIN NOVEDAD FICTICIA;ABONADO0001;CALLE FICTICIA 0001 RESIDENCIA DEMO;28/07/2026;DATO36-0001;DATO37-0001;DATO38-0001;DATO39-0001;9;9;99;DATO43-0001;DATO44-0001;999;DATO46-0001;DATO47-0001;99;DATO49-0001;DATO50-0001;DATO51-0001;DATO52-0001;OPERADOR0001;07/09/2026 11:04:19 a.m.;9;;;;;DATO60-0001;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001002;DATO12-0002;999;7000000102;12/08/2026 10:11:01 a.m.;ABONADO0002;4000000102;15/08/2026 10:11:01 a.m.;;OPERADOR0002;REPORTE FICTICIO: LOS ROJO;;;;24/08/2026 12:17:35 p.m.;DATO26-0002;PEND;SIN NOVEDAD FICTICIA;DATO29-0002;9;SIN NOVEDAD FICTICIA;SIN NOVEDAD FICTICIA;ABONADO0002;CALLE FICTICIA 0002 RESIDENCIA DEMO;;DATO36-0002;DATO37-0002;DATO38-0002;DATO39-0002;9;9;9;DATO43-0002;DATO44-0002;9999;DATO46-0002;DATO47-0002;99;DATO49-0002;DATO50-0002;DATO51-0002;DATO52-0002;OPERADOR0002;26/08/2026 02:54:16 p.m.;99;;;;;DATO60-0002;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001003;DATO12-0003;999;7000000103;20/08/2026 08:21:37 a.m.;ABONADO0003;4000000103;23/08/2026 08:21:37 a.m.;;OPERADOR0003;REPORTE FICTICIO: LOS ROJO / FALLA DE FIBRA;;;;20/08/2026 08:40:41 a.m.;DATO26-0003;PEND;SIN NOVEDAD FICTICIA;DATO29-0003;9;SIN NOVEDAD FICTICIA;;;;;DATO36-0003;DATO37-0003;DATO38-0003;DATO39-0003;9;9;9;DATO43-0003;DATO44-0003;999;DATO46-0003;DATO47-0003;99;DATO49-0003;DATO50-0003;DATO51-0003;DATO52-0003;OPERADOR0003;20/08/2026 08:41:15 a.m.;99;;;;;;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001004;DATO12-0004;999;7000000104;20/08/2026 11:03:40 a.m.;ABONADO0004;4000000104;23/08/2026 11:03:40 a.m.;;OPERADOR0004;REPORTE FICTICIO: LOS ROJO / FALLA DE FIBRA;;999999;;27/08/2026 11:05:05 a.m.;DATO26-0004;ASGN;SIN NOVEDAD FICTICIA;DATO29-0004;9;SIN NOVEDAD FICTICIA;;;;;DATO36-0004;DATO37-0004;DATO38-0004;DATO39-0004;9;9;99;;DATO44-0004;999;DATO46-0004;DATO47-0004;99;DATO49-0004;DATO50-0004;DATO51-0004;DATO52-0004;OPERADOR0004;27/08/2026 11:05:51 a.m.;99;;;;;;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001005;DATO12-0005;999;7000000105;24/08/2026 03:07:52 p.m.;ABONADO0005;4000000105;27/08/2026 03:07:52 p.m.;;OPERADOR0005;REPORTE FICTICIO: LOS ROJO;;;;02/09/2026 02:05:26 p.m.;DATO26-0005;PEND;SIN NOVEDAD FICTICIA;DATO29-0005;9;SIN NOVEDAD FICTICIA;;ABONADO0005;CALLE FICTICIA 0005 RESIDENCIA DEMO;13/08/2026;DATO36-0005;DATO37-0005;DATO38-0005;DATO39-0005;9;9;9;DATO43-0005;DATO44-0005;999;DATO46-0005;DATO47-0005;99;DATO49-0005;DATO50-0005;DATO51-0005;DATO52-0005;OPERADOR0005;02/09/2026 02:51:08 p.m.;9;;;;;DATO60-0005;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001006;DATO12-0006;999;7000000106;25/08/2026 12:30:06 p.m.;ABONADO0006;4000000106;28/08/2026 12:30:07 p.m.;;OPERADOR0006;SIN NOVEDAD FICTICIA;;;;07/09/2026 08:06:25 a.m.;;PEND;;DATO29-0006;9;SIN NOVEDAD FICTICIA;;ABONADO0006;CALLE FICTICIA 0006 RESIDENCIA DEMO;;DATO36-0006;DATO37-0006;DATO38-0006;DATO39-0006;9;9;99;DATO43-0006;DATO44-0006;9999;DATO46-0006;DATO47-0006;99;DATO49-0006;DATO50-0006;DATO51-0006;DATO52-0006;OPERADOR0006;11/09/2026 02:08:38 p.m.;9;;;;;DATO60-0006;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001007;DATO12-0007;999;7000000107;26/08/2026 09:18:03 a.m.;ABONADO0007;4000000107;29/08/2026 09:18:03 a.m.;;OPERADOR0007;SIN NOVEDAD FICTICIA;;;;04/09/2026 01:14:44 p.m.;DATO26-0007;PEND;;DATO29-0007;9;;SIN NOVEDAD FICTICIA;ABONADO0007;CALLE FICTICIA 0007 RESIDENCIA DEMO;;DATO36-0007;DATO37-0007;DATO38-0007;DATO39-0007;9;99;99;DATO43-0007;DATO44-0007;9999;DATO46-0007;DATO47-0007;99;DATO49-0007;DATO50-0007;DATO51-0007;DATO52-0007;OPERADOR0007;07/09/2026 03:08:14 a.m.;9;;;;;DATO60-0007;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001008;DATO12-0008;999;7000000108;27/08/2026 08:49:43 a.m.;ABONADO0008;4000000108;30/08/2026 08:49:44 a.m.;;OPERADOR0008;SIN NOVEDAD FICTICIA;;;;01/09/2026 09:47:14 a.m.;;PEND;;DATO29-0008;9;;;ABONADO0008;CALLE FICTICIA 0008 RESIDENCIA DEMO;;DATO36-0008;DATO37-0008;DATO38-0008;DATO39-0008;9;9;99;DATO43-0008;DATO44-0008;9999;DATO46-0008;DATO47-0008;99;DATO49-0008;DATO50-0008;DATO51-0008;DATO52-0008;OPERADOR0008;02/09/2026 01:25:53 p.m.;9;;;;;DATO60-0008;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10202;AREA 5;2319X;LAS MERCEDES CPA    ;90001009;DATO12-0009;999;7000000109;28/08/2026 02:22:45 p.m.;ABONADO0009;4000000109;31/08/2026 02:22:45 p.m.;;OPERADOR0009;REPORTE FICTICIO: LOS ROJO;;;;07/09/2026 08:06:25 a.m.;DATO26-0009;PEND;SIN NOVEDAD FICTICIA;DATO29-0009;9;;;ABONADO0009;CALLE FICTICIA 0009 RESIDENCIA DEMO;24/08/2026;DATO36-0009;DATO37-0009;DATO38-0009;DATO39-0009;9;99;99;DATO43-0009;DATO44-0009;9999;DATO46-0009;DATO47-0009;99;DATO49-0009;DATO50-0009;DATO51-0009;DATO52-0009;OPERADOR0009;07/09/2026 11:23:50 a.m.;9;;;;;DATO60-0009;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
